Time,Level,Robot name,Process,Hostname,Host Identity,Message
11/16/2022 02:20:30.385,Info,vajrang-unattended,RoboticEnterpriseFramework_Stock_Ticker,DESKTOP-M43ILJF,DESKTOP-M43ILJF\vajrang,RoboticEnterpriseFramework_Stock_Ticker execution started
11/16/2022 02:20:32.016,Info,vajrang-unattended,RoboticEnterpriseFramework_Stock_Ticker,DESKTOP-M43ILJF,DESKTOP-M43ILJF\vajrang,The primary screen resolution is: 1920 x 1080
11/16/2022 02:20:33.555,Error,vajrang-unattended,RoboticEnterpriseFramework_Stock_Ticker,DESKTOP-M43ILJF,DESKTOP-M43ILJF\vajrang,"System exception at initialization: Folder C:\Users\The Gamer\Documents\GitHub_clones\RPA-Developer-in-30-Days\SourceCode\Ahmed\RoboticEnterpriseFramework2\Data\Input does not exist, please check the output path. at Source: UiPath.Excel.Activities"
11/16/2022 02:20:33.581,Info,vajrang-unattended,RoboticEnterpriseFramework_Stock_Ticker,DESKTOP-M43ILJF,DESKTOP-M43ILJF\vajrang,RoboticEnterpriseFramework_Stock_Ticker execution ended
